size,t1-1,t2-1,t3-1,t4-1,t1,t2,t3,t4,for
100,0.008220911026000977,0.011968135833740234,0.011888504028320312,0.012486457824707031,0.008502006530761719,0.009886026382446289,0.01072239875793457,0.012519359588623047,0.0007116794586181641
200,0.02156853675842285,0.01659393310546875,0.022202014923095703,0.016823768615722656,0.0219571590423584,0.017586946487426758,0.016544580459594727,0.27761363983154297,0.0014767646789550781
400,0.0563356876373291,0.03674054145812988,0.038107872009277344,0.06195831298828125,0.04963421821594238,0.037895917892456055,0.03738999366760254,0.04345226287841797,0.00283050537109375
800,0.11878776550292969,0.14260554313659668,0.1463932991027832,0.1233515739440918,0.10319638252258301,0.3959646224975586,0.14473581314086914,0.08030462265014648,0.005650520324707031
1600,0.24900293350219727,0.26480960845947266,0.286454439163208,0.48172926902770996,0.2159566879272461,0.2935292720794678,0.2613699436187744,0.2783348560333252,0.011122703552246094
3200,0.7605550289154053,0.5882816314697266,0.7947373390197754,0.5910401344299316,0.7687015533447266,0.5617063045501709,0.828310489654541,0.5202689170837402,0.022230148315429688
6400,1.3275749683380127,1.3655674457550049,1.3500452041625977,1.4382586479187012,1.3481626510620117,1.1304097175598145,1.4100894927978516,1.3995256423950195,0.04414939880371094
12800,2.640469551086426,2.772610902786255,3.005681037902832,2.579493761062622,2.587644577026367,2.8955814838409424,2.8813533782958984,2.927105188369751,0.08835434913635254
25600,5.3205132484436035,5.541056394577026,6.093674659729004,5.750619649887085,5.263089656829834,5.796111822128296,6.103326797485352,5.7423059940338135,0.17659592628479004
51200,10.736372709274292,11.551630020141602,11.559257984161377,11.479355335235596,10.826396942138672,11.70536470413208,11.310359477996826,11.76842999458313,0.35492563247680664
102400,20.910011768341064,22.484062671661377,22.848352193832397,23.075718641281128,21.881698846817017,21.97840642929077,23.230453491210938,21.991992712020874,0.7077445983886719
204800,42.1592173576355,44.80331516265869,43.798036336898804,46.34640717506409,41.38405108451843,45.201841831207275,45.23005962371826,45.23269033432007,1.4109079837799072
409600,84.60517501831055,88.59647703170776,89.09761023521423,87.12400674819946,83.95686650276184,85.88313221931458,88.71739959716797,91.93732357025146,2.827019691467285
819200,164.8029432296753,174.22966647148132,177.45021438598633,179.4414484500885,164.6908187866211,175.07439827919006,179.12417030334473,181.91825222969055,5.665813684463501
1638400,325.59025168418884,356.7309820652008,353.8003931045532,358.1834719181061,321.14818143844604,354.46505331993103,346.7548236846924,353.2077190876007,11.37455129623413